,0,1,2,3
188,2010-07-08,0.0,63,79
189,2010-07-09,0.0,58,78
190,2010-07-10,0.0,53,83
191,2010-07-11,0.0,59,85
192,2010-07-12,0.0,62,77
193,2010-07-13,0.0,60,81
194,2010-07-14,0.0,60,84
195,2010-07-15,0.0,58,76
196,2010-07-16,0.0,57,82
197,2010-07-17,0.0,57,71
198,2010-07-18,0.0,55,70
199,2010-07-19,0.0,59,77
200,2010-07-20,0.0,58,79
201,2010-07-21,0.0,61,78
202,2010-07-22,0.0,57,73
203,2010-07-23,0.0,63,76
204,2010-07-24,0.0,60,72
205,2010-07-25,0.0,58,77
206,2010-07-26,0.0,56,85
207,2010-07-27,0.0,61,84
208,2010-07-28,0.0,62,74
209,2010-07-29,0.0,58,74
210,2010-07-30,0.0,52,76
211,2010-07-31,0.0,61,71
212,2010-08-01,0.0,62,77
213,2010-08-02,0.0,65,74
214,2010-08-03,0.0,69,85
215,2010-08-04,0.0,67,81
216,2010-08-05,0.0,56,74
217,2010-08-06,0.0,52,66
218,2010-08-07,0.0,45,77
219,2010-08-08,0.0,62,78
220,2010-08-09,0.0,59,83
221,2010-08-10,0.0,67,84
222,2010-08-11,0.0,67,79
223,2010-08-12,0.0,65,85
224,2010-08-13,0.0,68,84
225,2010-08-14,0.0,69,83
226,2010-08-15,0.0,63,80
227,2010-08-16,0.0,56,71
228,2010-08-17,0.0,50,65
229,2010-08-18,0.0,50,76
230,2010-08-19,0.0,50,70
231,2010-08-20,0.0,47,68
232,2010-08-21,0.0,60,72
233,2010-08-22,0.0,63,75
234,2010-08-23,0.0,59,69
235,2010-08-24,0.0,57,77
236,2010-08-25,0.0,53,66
237,2010-08-26,0.0,48,69
238,2010-08-27,0.0,51,77
239,2010-08-28,0.0,58,85
240,2010-08-29,0.0,58,85
241,2010-08-30,0.0,65,88
242,2010-08-31,0.0,68,83
243,2010-09-01,0.0,56,73
244,2010-09-02,0.0,53,73
245,2010-09-03,0.0,57,69
246,2010-09-04,0.0,47,69
247,2010-09-05,0.0,46,61
248,2010-09-06,0.0,46,67
249,2010-09-07,0.0,53,70
250,2010-09-08,0.0,54,61
251,2010-09-09,0.0,48,61
252,2010-09-10,0.0,48,65
253,2010-09-11,0.0,49,61
254,2010-09-12,0.0,50,73
255,2010-09-13,0.0,49,61
256,2010-09-14,0.0,47,59
257,2010-09-15,0.0,46,59
258,2010-09-16,0.0,43,57
259,2010-09-17,0.0,41,62
260,2010-09-18,0.0,42,58
261,2010-09-19,0.0,38,61
262,2010-09-20,0.0,38,62
263,2010-09-21,0.0,54,70
264,2010-09-22,0.0,45,61
265,2010-09-23,0.0,45,61
266,2010-09-24,0.0,51,69
267,2010-09-25,0.0,45,56
268,2010-09-26,0.0,41,61
269,2010-09-27,0.0,42,60
270,2010-09-28,0.0,43,65
271,2010-09-29,0.0,46,60
272,2010-09-30,0.0,53,61
273,2010-10-01,0.0,43,58
274,2010-10-02,0.0,36,52
275,2010-10-03,0.0,32,52
276,2010-10-04,0.0,31,62
277,2010-10-05,0.0,36,67
278,2010-10-06,0.0,40,68
279,2010-10-07,0.0,50,63
280,2010-10-08,0.0,44,70
281,2010-10-09,0.0,42,59
282,2010-10-10,0.0,39,66
283,2010-10-11,0.0,40,53
284,2010-10-12,0.0,38,57
285,2010-10-13,0.0,46,60
286,2010-10-14,0.0,37,60
287,2010-10-15,0.0,39,60
288,2010-10-16,0.0,35,61
289,2010-10-17,0.0,41,53
290,2010-10-18,0.0,37,52
291,2010-10-19,0.0,34,51
292,2010-10-20,0.0,37,55
293,2010-10-21,0.4,32,41
294,2010-10-22,0.0,31,47
295,2010-10-23,0.0,39,54
296,2010-10-24,0.0,45,48
297,2010-10-25,0.0,48,57
298,2010-10-26,0.0,52,59
299,2010-10-27,0.0,40,54
300,2010-10-28,0.0,38,45
301,2010-10-29,0.0,36,47
302,2010-10-30,0.0,36,43
303,2010-10-31,0.0,30,42
304,2010-11-01,0.0,26,47
305,2010-11-02,0.0,37,51
306,2010-11-03,0.0,35,45
307,2010-11-04,T,30,44
308,2010-11-05,T,26,32
309,2010-11-06,0.0,20,41
310,2010-11-07,0.0,34,53
311,2010-11-08,0.0,33,51
312,2010-11-09,0.0,37,51
313,2010-11-10,0.0,37,51
314,2010-11-11,0.0,39,53
315,2010-11-12,0.0,31,46
316,2010-11-13,0.0,40,43
317,2010-11-14,0.0,36,46
318,2010-11-15,T,32,39
319,2010-11-16,0.0,34,48
320,2010-11-17,0.0,35,47
321,2010-11-18,1.7,23,36
322,2010-11-19,0.3,23,37
323,2010-11-20,0.6,23,36
324,2010-11-21,0.1,23,36
325,2010-11-22,0.0,36,50
326,2010-11-23,0.7,22,50
327,2010-11-24,0.0,17,28
328,2010-11-25,1.9,20,38
329,2010-11-26,2.3,11,32
330,2010-11-27,1.5,31,38
331,2010-11-28,0.0,25,36
332,2010-11-29,0.0,29,42
333,2010-11-30,0.0,37,47
334,2010-12-01,3.2,30,37
335,2010-12-02,7.5,25,32
336,2010-12-03,1.2,20,28
337,2010-12-04,0.1,12,25
338,2010-12-05,T,14,24
339,2010-12-06,T,14,22
340,2010-12-07,1.4,11,19
341,2010-12-08,0.1,6,17
342,2010-12-09,0.3,1,26
343,2010-12-10,0.5,24,31
344,2010-12-11,1.4,18,26
345,2010-12-12,1.1,-1,18
346,2010-12-13,0.0,-5,9
347,2010-12-14,T,2,12
348,2010-12-15,0.4,5,26
349,2010-12-16,1.0,9,25
350,2010-12-17,0.3,23,30
351,2010-12-18,T,18,25
352,2010-12-19,T,22,27
353,2010-12-20,0.0,17,31
354,2010-12-21,0.0,14,30
355,2010-12-22,T,17,29
356,2010-12-23,0.0,16,25
357,2010-12-24,0.0,9,26
358,2010-12-25,T,11,28
359,2010-12-26,0.0,11,25
360,2010-12-27,0.0,7,30
361,2010-12-28,0.0,18,30
362,2010-12-29,0.0,20,38
363,2010-12-30,0.0,30,37
364,2010-12-31,0.0,37,43
365,2011-01-01,T,14,43
366,2011-01-02,0.0,10,22
367,2011-01-03,0.1,9,27
368,2011-01-04,1.8,16,26
369,2011-01-05,T,11,26
370,2011-01-06,3.2,6,24
371,2011-01-07,T,-5,14
372,2011-01-08,0.0,2,23
373,2011-01-09,0.0,-1,20
374,2011-01-10,0.0,-0,23
375,2011-01-11,0.0,11,23
376,2011-01-12,T,12,22
377,2011-01-13,T,6,18
378,2011-01-14,0.6,8,22
379,2011-01-15,1.5,-0,26
380,2011-01-16,T,-6,8
381,2011-01-17,3.0,4,23
382,2011-01-18,0.2,1,27
383,2011-01-19,0.0,-6,8
384,2011-01-20,3.2,-7,14
385,2011-01-21,0.3,-6,16
386,2011-01-22,1.3,-10,7
387,2011-01-23,0.0,-22,-6
388,2011-01-24,2.7,-7,18
389,2011-01-25,0.3,18,25
390,2011-01-26,T,21,26
391,2011-01-27,0.5,19,24
392,2011-01-28,0.8,1,23
393,2011-01-29,0.0,-2,15
394,2011-01-30,T,-0,12
395,2011-01-31,0.0,-5,9
396,2011-02-01,0.0,2,19
397,2011-02-02,0.0,10,19
398,2011-02-03,T,4,28
399,2011-02-04,0.3,22,29
400,2011-02-05,0.1,28,33
401,2011-02-06,0.1,19,31
402,2011-02-07,T,2,20
403,2011-02-08,T,-7,17
404,2011-02-09,1.2,5,16
405,2011-02-10,0.5,-2,17
406,2011-02-11,0.9,-5,21
407,2011-02-12,1.2,14,23
408,2011-02-13,0.3,17,38
409,2011-02-14,0.8,7,34
410,2011-02-15,T,4,32
411,2011-02-16,0.0,29,43
412,2011-02-17,0.0,30,44
413,2011-02-18,1.2,15,44
414,2011-02-19,0.9,13,21
415,2011-02-20,T,8,23
416,2011-02-21,0.0,-1,21
417,2011-02-22,0.0,3,22
418,2011-02-23,T,8,32
419,2011-02-24,0.8,24,32
420,2011-02-25,0.3,11,24
421,2011-02-26,0.4,7,19
422,2011-02-27,T,10,26
423,2011-02-28,0.4,19,25
424,2011-03-01,0.4,12,36
425,2011-03-02,0.3,6,24
426,2011-03-03,4.1,6,26
427,2011-03-04,2.9,24,31
428,2011-03-05,0.0,12,30
429,2011-03-06,T,2,22
430,2011-03-07,0.0,7,24
431,2011-03-08,1.1,16,29
432,2011-03-09,3.9,22,32
433,2011-03-10,0.3,28,35
434,2011-03-11,0.0,26,37
435,2011-03-12,0.2,22,36
436,2011-03-13,0.0,24,34
437,2011-03-14,0.0,13,37
438,2011-03-15,0.0,19,42
439,2011-03-16,0.0,22,45
440,2011-03-17,0.0,34,52
441,2011-03-18,0.0,26,37
442,2011-03-19,0.0,22,34
443,2011-03-20,3.2,24,34
444,2011-03-21,1.0,30,37
445,2011-03-22,0.0,22,36
446,2011-03-23,0.0,12,31
447,2011-03-24,0.0,8,22
448,2011-03-25,0.0,8,21
449,2011-03-26,0.0,9,23
450,2011-03-27,0.0,7,24
451,2011-03-28,0.0,11,32
452,2011-03-29,0.0,22,38
453,2011-03-30,0.0,23,45
454,2011-03-31,0.0,28,47
455,2011-04-01,0.0,25,49
456,2011-04-02,0.0,28,39
457,2011-04-03,1.3,27,45
458,2011-04-04,0.3,32,37
459,2011-04-05,0.6,28,35
460,2011-04-06,T,27,45
461,2011-04-07,0.0,25,52
462,2011-04-08,0.0,30,55
463,2011-04-09,0.0,31,53
464,2011-04-10,0.0,40,46
465,2011-04-11,0.0,32,49
466,2011-04-12,0.0,29,60
467,2011-04-13,0.0,32,61
468,2011-04-14,0.0,29,44
469,2011-04-15,0.0,26,43
470,2011-04-16,0.2,33,41
471,2011-04-17,3.1,24,33
472,2011-04-18,T,22,33
473,2011-04-19,0.0,23,39
474,2011-04-20,2.1,31,36
475,2011-04-21,0.2,29,50
476,2011-04-22,0.0,34,47
477,2011-04-23,T,34,43
478,2011-04-24,0.0,29,57
479,2011-04-25,0.0,33,63
480,2011-04-26,0.0,41,46
481,2011-04-27,0.0,38,50
482,2011-04-28,T,35,41
483,2011-04-29,0.0,34,53
484,2011-04-30,0.0,31,60
485,2011-05-01,0.0,40,63
486,2011-05-02,0.0,33,44
487,2011-05-03,0.0,32,45
488,2011-05-04,0.0,31,58
489,2011-05-05,0.0,32,65
490,2011-05-06,0.0,40,50
491,2011-05-07,0.0,39,66
492,2011-05-08,0.0,46,69
493,2011-05-09,0.0,43,68
494,2011-05-10,0.0,45,55
495,2011-05-11,0.0,47,62
496,2011-05-12,0.0,53,67
497,2011-05-13,0.0,51,63
498,2011-05-14,0.0,49,61
499,2011-05-15,0.0,40,60
500,2011-05-16,0.0,33,55
501,2011-05-17,0.0,36,69
502,2011-05-18,0.0,45,67
503,2011-05-19,0.0,50,72
504,2011-05-20,0.0,50,77
505,2011-05-21,0.0,54,75
506,2011-05-22,0.0,54,70
507,2011-05-23,0.0,43,72
508,2011-05-24,0.0,38,53
509,2011-05-25,0.0,35,61
510,2011-05-26,0.0,37,55
511,2011-05-27,0.0,37,65
512,2011-05-28,0.0,49,60
513,2011-05-29,0.0,52,70
514,2011-05-30,0.0,54,70
515,2011-05-31,0.0,60,85
516,2011-06-01,0.0,44,61
517,2011-06-02,0.0,41,64
518,2011-06-03,0.0,40,68
519,2011-06-04,0.0,51,78
520,2011-06-05,0.0,47,69
521,2011-06-06,0.0,45,80
522,2011-06-07,0.0,54,84
523,2011-06-08,0.0,47,80
524,2011-06-09,0.0,43,62
525,2011-06-10,0.0,45,57
526,2011-06-11,0.0,49,55
527,2011-06-12,0.0,47,63
528,2011-06-13,0.0,44,73
529,2011-06-14,0.0,47,79
530,2011-06-15,0.0,52,76
531,2011-06-16,0.0,53,78
532,2011-06-17,0.0,51,80
533,2011-06-18,0.0,56,78
534,2011-06-19,0.0,57,69
535,2011-06-20,0.0,59,70
536,2011-06-21,0.0,59,64
537,2011-06-22,0.0,60,64
538,2011-06-23,0.0,57,67
539,2011-06-24,0.0,53,63
540,2011-06-25,0.0,51,72
541,2011-06-26,0.0,50,79
542,2011-06-27,0.0,54,73
543,2011-06-28,0.0,48,62
544,2011-06-29,0.0,46,64
545,2011-06-30,0.0,43,80
546,2011-07-01,0.0,56,70
547,2011-07-02,0.0,57,77
548,2011-07-03,0.0,52,78
549,2011-07-04,0.0,52,82
550,2011-07-05,0.0,60,84
551,2011-07-06,0.0,56,74
552,2011-07-07,0.0,50,80
553,2011-07-08,0.0,55,77
554,2011-07-09,0.0,52,76
555,2011-07-10,0.0,64,86
556,2011-07-11,0.0,61,82
557,2011-07-12,0.0,53,71
558,2011-07-13,0.0,52,72
559,2011-07-14,0.0,51,76
560,2011-07-15,0.0,53,78
561,2011-07-16,0.0,62,85
562,2011-07-17,0.0,65,88
563,2011-07-18,0.0,68,87
564,2011-07-19,0.0,62,78
565,2011-07-20,0.0,62,87
566,2011-07-21,0.0,64,82
567,2011-07-22,0.0,58,86
568,2011-07-23,0.0,63,81
569,2011-07-24,0.0,63,72
570,2011-07-25,0.0,59,79
571,2011-07-26,0.0,56,71
572,2011-07-27,0.0,53,72
573,2011-07-28,0.0,67,82
574,2011-07-29,0.0,61,77
575,2011-07-30,0.0,56,86
576,2011-07-31,0.0,58,84
577,2011-08-01,0.0,54,82
578,2011-08-02,0.0,58,73
579,2011-08-03,0.0,64,79
580,2011-08-04,0.0,62,84
581,2011-08-05,0.0,65,87
582,2011-08-06,0.0,65,82
583,2011-08-07,0.0,65,78
584,2011-08-08,0.0,55,77
585,2011-08-09,0.0,60,70
586,2011-08-10,0.0,57,63
587,2011-08-11,0.0,53,77
588,2011-08-12,0.0,58,80
589,2011-08-13,0.0,61,69
590,2011-08-14,0.0,56,76
591,2011-08-15,0.0,53,77
592,2011-08-16,0.0,58,83
593,2011-08-17,0.0,58,75
594,2011-08-18,0.0,53,76
595,2011-08-19,0.0,55,79
596,2011-08-20,0.0,55,73
597,2011-08-21,0.0,54,68
598,2011-08-22,0.0,53,70
599,2011-08-23,0.0,57,81
600,2011-08-24,0.0,62,77
601,2011-08-25,0.0,54,67
602,2011-08-26,0.0,49,76
603,2011-08-27,0.0,58,73
604,2011-08-28,0.0,52,75
605,2011-08-29,0.0,53,78
606,2011-08-30,0.0,58,79
607,2011-08-31,0.0,62,70
608,2011-09-01,0.0,65,77
609,2011-09-02,0.0,60,85
610,2011-09-03,0.0,58,72
611,2011-09-04,0.0,48,70
612,2011-09-05,0.0,45,59
613,2011-09-06,0.0,40,66
614,2011-09-07,0.0,44,70
615,2011-09-08,0.0,53,76
616,2011-09-09,0.0,53,79
